#,DATE,LTP*,HIGH,LOW,OPENP*,CLOSEP*,YCP,TRADE,TRADING CODE,,VALUE (mn),
,,,,,,,,,,,,
1,3/13/2022,ROBI,36.5,36.8,35.9,36.2,36.5,35.9,"1,070",54.447,"1,495,031",
2,3/10/2022,ROBI,35.9,36.6,35.8,36.1,35.9,36,919,25.678,"712,287",
3,3/9/2022,ROBI,36,36.7,35.7,35.9,36,35.7,"1,128",42.975,"1,192,649",
4,3/8/2022,ROBI,35.7,36.2,35.1,36.2,35.7,35.5,954,24.19,"678,966",
5,3/7/2022,ROBI,35.5,37.6,35.3,35.4,35.5,35.1,"2,618",71.224,"1,961,754",
6,3/6/2022,ROBI,35.1,35.6,35,35.5,35.1,35.4,779,20.14,"574,107",
7,3/3/2022,ROBI,35.4,35.5,35,35.3,35.4,35.3,"1,062",21.364,"607,129",
8,3/2/2022,ROBI,35.3,35.8,35,35.4,35.3,35.6,850,19.195,"545,597",
9,3/1/2022,ROBI,35.6,36.1,35.4,35.9,35.6,35.6,"1,452",17.501,"489,776",
10,2/28/2022,ROBI,35.6,35.9,35,35.4,35.6,35.3,"1,429",27.951,"787,281",
11,2/27/2022,ROBI,35.3,36.4,35,36.4,35.3,36.4,"2,670",51.541,"1,451,688",
12,2/24/2022,ROBI,36.4,37,36.2,36.6,36.4,36.7,"1,287",25.242,"692,142",
13,2/23/2022,ROBI,36.7,36.8,36.5,36.8,36.7,36.5,749,12.517,"341,261",
14,2/22/2022,ROBI,36.5,37.1,36.3,37,36.5,36.9,"1,340",26.609,"725,837",
15,2/20/2022,ROBI,36.9,37.7,36.8,37.7,36.9,37.2,"1,177",20.681,"558,986",
16,2/17/2022,ROBI,37.2,37.7,37.1,37.6,37.2,37.6,"1,598",29.1,"780,340",
17,2/16/2022,ROBI,37.6,38.2,37.6,37.7,37.6,37.7,833,21.533,"571,470",
18,2/15/2022,ROBI,37.7,38.5,37.7,38.5,37.7,38.5,"1,393",33.91,"895,140",
19,2/14/2022,ROBI,38.5,38.9,38.3,38.9,38.5,38.6,"1,917",30.307,"785,785",
20,2/13/2022,ROBI,38.6,39.2,38.5,38.8,38.6,38.8,"1,646",30.666,"792,619",
21,2/10/2022,ROBI,38.8,39.1,38.7,39,38.8,39,"1,260",56.548,"1,455,987",
22,2/9/2022,ROBI,39,39.3,38.7,38.8,39,38.8,"1,050",52.402,"1,343,423",
23,2/8/2022,ROBI,38.8,39.5,38.7,39.4,38.8,39.4,"1,332",76.8,"1,967,171",
24,2/7/2022,ROBI,39.4,40,39.3,39.9,39.4,39.7,910,51.378,"1,296,139",
25,2/6/2022,ROBI,39.7,40.4,38.9,38.9,39.7,38.9,"2,026",77.84,"1,956,052",
26,2/3/2022,ROBI,38.9,39.2,38.6,38.7,38.9,38.9,900,40.633,"1,043,759",
27,2/2/2022,ROBI,38.9,39.7,38.3,38.4,38.9,38.3,"1,755",54.625,"1,400,822",
28,2/1/2022,ROBI,38.3,38.5,37.8,37.8,38.3,37.5,980,56.381,"1,480,766",
29,1/31/2022,ROBI,37.5,38.1,37.3,38,37.5,38,"1,484",40.647,"1,079,213",
30,1/30/2022,ROBI,38,38.4,37.9,38.1,38,38.1,"1,050",33.242,"873,791",
31,1/27/2022,ROBI,38.1,38.4,38.1,38.2,38.1,38.1,853,30.149,"790,369",
32,1/26/2022,ROBI,38.1,38.5,38.1,38.2,38.1,38.2,794,23.398,"612,722",
33,1/25/2022,ROBI,38.2,38.7,38,38.2,38.2,38.2,972,30.702,"801,713",
34,1/24/2022,ROBI,38.2,38.6,38.1,38.5,38.2,38.5,"1,318",38.165,"997,223",
35,1/23/2022,ROBI,38.5,39.3,38.4,39.3,38.5,39.2,"1,972",69.02,"1,782,356",
36,1/20/2022,ROBI,39.2,39.7,39.1,39.2,39.2,39.2,"1,840",76.502,"1,947,447",
37,1/19/2022,ROBI,39.2,39.9,39.1,39.7,39.2,39.7,"2,133",77.386,"1,965,049",
38,1/18/2022,ROBI,39.7,41.3,39.6,40.8,39.7,40.5,"2,481",126.284,"3,133,940",
39,1/17/2022,ROBI,40.5,41.2,39,39.5,40.5,39.3,"2,807",140.888,"3,526,843",
40,1/16/2022,ROBI,39.3,41.2,39.1,40.8,39.3,40.8,"3,971",198.859,"4,978,074",
41,1/13/2022,ROBI,40.8,42,40.6,41.5,40.8,41.2,"2,601",73.195,"1,780,544",
